stationId,locationName,lat,lon,obstime,ELEV,RAIN,MIN_10,HOUR_3,HOUR_6,HOUR_12,HOUR_24,NOW,WDIR,WDSD,TEMP,HUMD,PRES,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT,CITY,CITY_SN,TOWN,TOWN_SN,reportTime
C0A560,福山,24.778333,121.494583,2020-07-27 14:00:00,405.0,,,,,,,,305,2.9,29.5,0.97,962.5,1.0,-99,-99,-99,32.90,2020-07-27T13:40:00+08:00,21.30,2020-07-27T05:40:00+08:00,新北市,06,烏來區,061,2020-07-27 14:41:03
C0X190,安平,22.994972,120.144111,2020-07-27 14:00:00,10.0,,,,,,,,241,2.2,32.2,0.7,1005.4,0.0,-99,-99,-99,32.70,2020-07-27T13:20:00+08:00,28.10,2020-07-27T04:10:00+08:00,臺南市,04,安平區,276,2020-07-27 14:41:03
C0S950,七塊厝,22.956258,121.221844,2020-07-27 14:00:00,415.0,,,,,,,,171,2.2,29.1,0.78,961.0,0.0,-99,-99,-99,30.00,2020-07-27T10:20:00+08:00,23.50,2020-07-27T03:40:00+08:00,臺東縣,22,東河鄉,264,2020-07-27 14:41:03
C0A880,福隆,25.019167,121.934167,2020-07-27 14:00:00,6.0,,,,,,,,39,1.9,33.0,0.69,1005.7,0.0,-99,-99,-99,34.30,2020-07-27T11:30:00+08:00,24.80,2020-07-27T05:30:00+08:00,新北市,06,貢寮區,027,2020-07-27 14:41:03
C0I530,小奇萊,24.133550,121.287556,2020-07-27 14:00:00,3014.0,,,,,,,,224,3.4,12.1,0.98,-99,0.0,-99,-99,-99,15.20,2020-07-27T09:20:00+08:00,9.40,2020-07-27T05:30:00+08:00,南投縣,13,仁愛鄉,122,2020-07-27 14:41:03
C0M670,大林,23.602361,120.450281,2020-07-27 14:00:00,43.0,,,,,,,,266,1.3,34.2,0.57,1001.1,0.0,7.2,288,2020-07-27T13:02:00+08:00,35.00,2020-07-27T12:50:00+08:00,26.60,2020-07-27T05:30:00+08:00,嘉義縣,17,大林鎮,202,2020-07-27 14:41:03
C0Z061,玉里,23.323306,121.331556,2020-07-27 14:00:00,174.0,,,,,,,,156,1.2,33.6,0.58,989.8,0.0,7.3,188,2020-07-27T13:28:00+08:00,34.70,2020-07-27T11:10:00+08:00,23.40,2020-07-27T06:20:00+08:00,花蓮縣,21,玉里鎮,221,2020-07-27 14:41:03
C0M730,嘉義市東區,23.459414,120.452408,2020-07-27 14:00:00,40.0,,,,,,,,262,2.3,33.5,0.6,1001.2,0.0,-99,-99,-99,35.50,2020-07-27T13:20:00+08:00,25.60,2020-07-27T05:20:00+08:00,嘉義市,09,東區,217,2020-07-27 14:41:03
C0U750,龜山島,24.843392,121.944947,2020-07-27 14:00:00,398.0,,,,,,,,162,1.3,26.6,0.98,963.8,0.0,-99,-99,-99,29.00,2020-07-27T12:40:00+08:00,24.00,2020-07-27T03:10:00+08:00,宜蘭縣,07,頭城鎮,051,2020-07-27 14:41:03
C0A650,火燒寮,25.004411,121.734572,2020-07-27 14:00:00,287.0,,,,,,,,36,1.3,26.3,0.69,976.0,0.0,-99,-99,-99,30.60,2020-07-27T09:50:00+08:00,18.50,2020-07-27T05:40:00+08:00,新北市,06,平溪區,029,2020-07-27 14:41:03
C0K400,斗六,23.722303,120.532972,2020-07-27 14:00:00,65.0,,,,,,,,257,3.7,33.8,0.59,999.7,0.0,-99,-99,-99,34.40,2020-07-27T12:50:00+08:00,25.60,2020-07-27T06:00:00+08:00,雲林縣,16,斗六市,355,2020-07-27 14:41:03
C0I370,魚池,23.897478,120.933219,2020-07-27 14:00:00,671.0,,,,,,,,37,1.5,29.6,0.57,934.6,0.0,-99,-99,-99,30.60,2020-07-27T13:40:00+08:00,20.70,2020-07-27T04:40:00+08:00,南投縣,13,魚池鄉,164,2020-07-27 14:41:03
C0S750,向陽,23.250000,120.978056,2020-07-27 14:00:00,2280.0,,,,,,,,0,0.0,18.3,0.91,773.3,0.0,-99,-99,-99,22.60,2020-07-27T11:20:00+08:00,11.70,2020-07-27T03:00:00+08:00,臺東縣,22,海端鄉,240,2020-07-27 14:41:03
C0R650,竹田,22.586642,120.535392,2020-07-27 14:00:00,29.0,,,,,,,,161,2.1,31.8,0.71,1005.1,0.0,-99,-99,-99,32.80,2020-07-27T11:00:00+08:00,25.80,2020-07-27T05:20:00+08:00,屏東縣,20,竹田鄉,322,2020-07-27 14:41:03
C0E740,造橋,24.638750,120.856583,2020-07-27 14:00:00,27.0,,,,,,,,255,2.0,31.9,0.7,1003.8,0.0,8.5,224,2020-07-27T13:34:00+08:00,35.70,2020-07-27T11:00:00+08:00,25.40,2020-07-27T05:20:00+08:00,苗栗縣,11,造橋鄉,090,2020-07-27 14:41:03
C0AI20,白沙灣,25.284903,121.510814,2020-07-27 14:00:00,25.0,,,,,,,,302,2.7,31.1,0.69,1004.9,0.0,-99,-99,-99,32.00,2020-07-27T12:20:00+08:00,26.00,2020-07-27T03:50:00+08:00,新北市,06,石門區,001,2020-07-27 14:41:03
C0E550,明德,24.585250,120.877222,2020-07-27 14:00:00,84.0,,,,,,,,249,2.0,31.2,0.59,997.2,0.0,-99,-99,-99,34.40,2020-07-27T11:30:00+08:00,24.80,2020-07-27T05:30:00+08:00,苗栗縣,11,頭屋鄉,094,2020-07-27 14:41:03
C0X060,下營,23.228686,120.248153,2020-07-27 14:00:00,19.0,,,,,,,,272,4.3,33.1,0.65,1006.2,1.5,-99,-99,-99,34.30,2020-07-27T13:10:00+08:00,25.50,2020-07-27T05:30:00+08:00,臺南市,04,下營區,242,2020-07-27 14:41:03
C0R510,萬丹,22.589611,120.482389,2020-07-27 14:00:00,31.0,,,,,,,,205,2.5,33.3,0.58,1003.2,0.0,-99,-99,-99,33.60,2020-07-27T13:30:00+08:00,26.60,2020-07-27T05:50:00+08:00,屏東縣,20,萬丹鄉,327,2020-07-27 14:41:03
C0AC60,三峽,24.940806,121.361500,2020-07-27 14:00:00,55.0,,,,,,,,8,1.6,32.2,0.63,1000.4,4.5,-99,-99,-99,36.20,2020-07-27T12:20:00+08:00,25.70,2020-07-27T05:40:00+08:00,新北市,06,三峽區,057,2020-07-27 14:41:03
